,text,created_date,latitude,longitude,retweet,polarity,pol_value,followers,location
0,"@SoniaGandhi_FC, Good Morning,
Good Luck, Good Future, Good Health, Progress, Peace And The
Prosperity.May God Bles… https://t.co/MmtrEFPPDJ",2019-04-28 01:47:57,76.631414, 29.909885,94583,Highly Positive,0.56,1339,
1,"@Shubhrastha @kamalpd @RahulGandhi @priyankagandhi Well said Madam.If they have any respect left  in our society, t… https://t.co/LGDDVjnoi7",2019-04-27 12:43:17,77.373474, 12.919037,5106,Neutral,0.0,21,
2,"https://t.co/5IXaVreXXZ, Mr @digvijaya_28 @PChidambaram_IN @SoniaGandhi_FC n all d leaders hv contributed to dishar… https://t.co/8wbgyLR3AQ",2019-04-27 05:10:31,78.3897718, 17.3013989,11375,Neutral,0.0,55,
3,"@SoniaGandhi_FC, Good Morning, Good Future, Good Health, Good Luck, Good Health, Progress, Peace And The Prosperity… https://t.co/rHoxSd1Lsr",2019-04-27 03:56:34,76.631414, 29.909885,94584,Highly Positive,0.58,1339,
4,@INCIndia @RahulGandhi @SoniaGandhi_FC you are running out of campaign with BJP on leading marathi news channels li… https://t.co/woiemreVsV,2019-04-26 17:28:12,72.74484, 18.845343,0,Neutral,0.0,5,"मुंबई, भारत"
5,@RahulGandhi @SoniaGandhi_FC @priyankagandhi @INCIndia EVEN Street dog is not understanding mathematics of Rahul Ga… https://t.co/Cmq23At3Av,2019-04-26 17:10:44,-83.288056, 42.255085,7,Neutral,0.0,0,"Detroit, MI"
6,It's good that @priyankagandhi has left battle field of #Varanasi n ran away . Yesterday's road show of… https://t.co/UslLHLpYV3,2019-04-26 16:41:41,76.84252, 28.397657,2821,Positive,0.35,847,New Delhi
7,@YashwantSinha You are remembering hitler too much. You can join #SoniaGandhi whose family served nazis,2019-04-26 12:23:42,-115.2092535, 35.984784,4433,Positive,0.2,1026,"San Diego, CA"
8,Nothing has destroyed the integrity of @INCIndia as an election fighting machine than the posturing of… https://t.co/61HXHG8w2M,2019-04-26 12:10:47,80.1851996, 13.0417174,103,Neutral,0.0,46,
9,"@SoniaGandhi_FC, Good Morning, Good Future, Good Luck, Good Health, Progress, Peace And The Prosperity.May God Bles… https://t.co/pVlIJh9tlJ",2019-04-26 02:49:12,76.631414, 29.909885,94583,Highly Positive,0.56,1339,
10,"Guys chill! If you thought the circus is over, not yet.

Very soon #PriyankaGandhi will interview #RahulGandhi abou… https://t.co/bbVXa3FqRn",2019-04-25 16:51:11,82.671054, 25.166781,14573,Positive,0.2,569,"Mumbai, Varanasi,Calcutta, Goa"
11,"As soon as PM @narendramodi came to know the name of his opponent @kashikirai at Varanasi, he must have had a heart… https://t.co/Wri0mC8hQu",2019-04-25 12:54:29,80.1851996, 13.0417174,2,Neutral,0.0,11,
12,"@BhavanBadrinath @SoniaGandhi ,Don't take risk of fielding priyanka from Varanasi .and sideline rahul .Any way she will lose .",2019-04-25 06:15:20,80.056161, 12.850328,410,Neutral,0.0,105,Chennai.
13,"@SandipTarkas Selective amnesia , Sandip. More with the current PM none with #manmohansingh ( Even , if I try hard,… https://t.co/QOCaMIVq06",2019-04-25 05:17:32,76.84252, 28.397657,5834,Positive,0.25,355,
14,This bastard was chosen one by @_SoniaGandhi bar girl as India Vice President like the one who was cleaning vessel… https://t.co/bfp4nklGMm,2019-04-25 03:51:41,80.1934237, 13.080055,333,Neutral,0.0,601,"Toronto, Ontario"
15,"@SoniaGandhi_FC, Good Morning,
Good Luck, Good Future, Good Health, Progress, Peace And The
Prosperity.May God Bles… https://t.co/I7iPnxdSBl",2019-04-25 02:08:17,76.631414, 29.909885,94583,Highly Positive,0.56,1339,
16,@rssurjewala @devanggual FEKU IS CONGRESS PARTY TO FOOL PEOPLE IS MOTTO OF CONGRESSMAN.@aajtak @ZeeNews… https://t.co/rHLyxIxBS9,2019-04-24 06:48:51,72.74484, 18.845343,619,Neutral,0.0,148,mumbai
17,@RahulGandhi @aajtak @ZeeNews @News18India @republic @htTweets @TimesNow WHY WAS ABDUL KALAM AZAD WAS NOT RE-ELECTE… https://t.co/OqiGEJPxPS,2019-04-24 06:42:01,72.74484, 18.845343,619,Neutral,0.0,148,mumbai
18,"@htTweets @Dev_Fadnavis @shailesh505 @awake1975 , Yes absolutely. Every proud Hindu will n shud vote for @BJP4India… https://t.co/rzXFywXlMM",2019-04-24 05:27:05,78.3897718, 17.3013989,11375,Highly Positive,0.5,55,
19,"@SoniaGandhi_FC, Good Morning,
Good Luck, Good Future, Good Health, Progress, Peace And The
Prosperity.May God Bles… https://t.co/Jr5FTm2ERb",2019-04-24 01:29:42,76.631414, 29.909885,94583,Highly Positive,0.56,1339,
20,@arvindgunasekar @arunjaitley would ensure smooth outcome like he does with @FinMinIndia for @_SoniaGandhi family… https://t.co/iv5fSLu1L3,2019-04-23 18:22:51,80.1934237, 13.080055,333,Positive,0.4,601,"Toronto, Ontario"
21,"@Swamy39 @TCNLive 🙏🦁of 🇮🇳! When will 🇮🇳esp @BJP4India &amp; @narendramodi 🙈Know core Mind SET= @SoniaGandhi_FC ""Post… https://t.co/DLQtfc5lK7",2019-04-23 16:12:08,-0.112442, 51.5068,8,Neutral,0.0,73,London
22,"@SoniaGandhi_FC Wow wow, Subrahmanyam Swamy speaking the truth",2019-04-23 15:04:51,79.7793203, 14.1503952,3665,Positive,0.1,440,Nellore
23,Mr. @milinddeora why do you forget that serious criminal charges are against @sanjaynirupam ? &amp; Your Party Chief… https://t.co/gn3UxmBzKz,2019-04-23 14:48:21,72.74484, 18.845343,33002,Negative,-0.37,7124,"Mumbai, India"
24,@MandeepBajwa Ask the idiots like @RahulGandhi and #SoniaGandhi where all they take the camera ?,2019-04-23 11:33:59,76.657719, 10.80795,2977,Highly Negative,-0.8,928,Coimbatore 
25,"@SoniaGandhi_FC, Respected Madam Sonia Gandhijee, Madam Priyanka Gandhijee Will Be Fighting The Next Lok Sabha Elec… https://t.co/JefsdYqTD7",2019-04-23 09:23:46,76.631414, 29.909885,94583,Neutral,0.0,1339,
26,@RahulGandhi @office0ffRG_ @_SoniaGandhi @congress_ @SoniaGOfficial @priyankagandhi @WithPGV @INCIndia @vidyarthee… https://t.co/vdRxR47Rvr,2019-04-23 09:04:13,90.939097, 25.722728,2025,Neutral,0.0,106,India
27,"@SoniaGandhi_FC, Good Morning,
Good Luck, Good Future, Good Health, Progress, Peace And The
Prosperity.May God Bles… https://t.co/3Gp2sebFEB",2019-04-23 03:23:55,76.631414, 29.909885,94583,Highly Positive,0.56,1339,
28,@jgopikrishnan70 @narendramodi also shields like @arunjaitley the criminal gang with corrupt Indian collegium &amp; jud… https://t.co/0kpOdQvr6A,2019-04-23 00:53:26,80.1934237, 13.080055,334,Negative,-0.45,601,"Toronto, Ontario"
29,@Anju1951Purohit @RRajeshbhatt @narendramodi @MeenaDasNarayan @SriAiyerRS2 @BJP4India @mahesh10816 @vanichandra2010… https://t.co/NFWrFawhZo,2019-04-22 16:52:28,76.707671, 28.199529,16336,Neutral,0.0,5486,Gurgaon
30,@Anju1951Purohit @RRajeshbhatt @narendramodi @MeenaDasNarayan @SriAiyerRS2 @BJP4India @mahesh10816 @vanichandra2010… https://t.co/iDgyGHMgYV,2019-04-22 16:39:14,76.707671, 28.199529,16336,Neutral,0.0,5486,Gurgaon
31,@BDUTT @tehseenp @NewsHtn ALL EXPOSED MIND SET + SHAME @BDUTT BEING A LADY IF 1 😂🐀&amp; PREMEDITATED ANTI 🔪🇮🇳&amp;… https://t.co/oq12c2XDdM,2019-04-22 09:28:52,-0.2925791, 51.555179,8,Neutral,0.0,73,London
32,#CongressManifesto &amp; Pro 🇵🇰Change Attitude STRENGTHEN = U 🙈🇮🇳WAKE UP= POST ASSISNATION 🔪OF @Indira___Gandhi by… https://t.co/JO422ZaDR1,2019-04-22 09:01:32,-0.2925791, 51.555179,8,Neutral,0.0,73,London
33,"The more we examine UPA actions under @_SoniaGandhi and @_ManmohanSingh, we tend to exonerate the #ModiGovt. While… https://t.co/6qarO4LBJW",2019-04-22 06:30:12,80.1851996, 13.0417174,6,Highly Positive,0.5,4,
34,@narendramodi how come you still keep well wisher &amp; family lawyer of @_SoniaGandhi @RahulGandhi @PChidambaram_IN in… https://t.co/uZ1MqAwMuh,2019-04-22 04:34:48,80.1934237, 13.080055,333,Neutral,0.0,601,"Toronto, Ontario"
35,"@SoniaGandhi_FC, Good Morning, Good Future, Good Health, Good Luck, Progress, Peace And The
Prosperity.May God Bles… https://t.co/qwOFtUajTk",2019-04-22 01:31:49,76.631414, 29.909885,94584,Highly Positive,0.56,1339,
36,"@Swamy39 Plzzz sir make this really happen we want freedom from @INCIndia @RahulGandhi SoniaGandhi,… https://t.co/5CGhcxV4AK",2019-04-21 22:37:39,78.685838, 20.870138,1000,Positive,0.2,75,N.I.T. Rourkela
37,"@INCIndia how can a mentally retired person did M.Phil? Is this a joke??

1st standard students are also much more… https://t.co/23AIq7SbCa",2019-04-21 17:41:59,72.74484, 18.845343,2522,Positive,0.03,937,India
38,"@TrueIndology @awake1975 , N in ten years from 2004- 2014 when @INCIndia in power with @SoniaGandhi defacto heading… https://t.co/TjuLRme6qq",2019-04-21 17:08:21,78.3897718, 17.3013989,11375,Neutral,0.0,55,
39,"@SoniaGandhi_FC, Respected Madam,I Wanted To Meet You If You Will Be Give Me Time.I Shall Be Very Thankful To You.… https://t.co/WAFXYMAIk5",2019-04-21 16:58:31,76.631414, 29.909885,94583,Positive,0.2,1339,
40,"@SoniaGandhi_FC, Respected Madam,I Wanted To Fighting The Next Lok Sabha Elections From The Kurukshetra Lok Sabha S… https://t.co/jNI1DERsJ3",2019-04-21 16:52:09,76.631414, 29.909885,94583,Neutral,0.0,1339,
